Date,BRL Curncy,CLP Curncy,COP Curncy,MXN Curncy,ZAR Curncy
2000-01-09,1.827,524.55,1901.0,9.565,6.0575
2000-01-16,1.804,515.67,1921.0,9.4503,6.0725
2000-01-23,1.7725,515.9,1935.5,9.4668,6.1325
2000-01-30,1.799,517.5,1969.25,9.5878,6.3375
2000-02-06,1.768,515.55,1949.25,9.445,6.2575
2000-02-13,1.7685,515.05,1949.0,9.422,6.3345
2000-02-20,1.777,511.75,1938.5,9.3925,6.3225
2000-02-27,1.774,506.35,1948.0,9.375,6.2825
2000-03-05,1.745,503.15,1963.0,9.309,6.4538
2000-03-12,1.745,506.05,1958.75,9.33,6.395
2000-03-19,1.739,506.7,1953.5,9.309,6.4721
2000-03-26,1.7325,502.45,1958.0,9.22,6.4795
2000-04-02,1.736,503.25,1958.7,9.253,6.525
2000-04-09,1.741,505.75,2002.0,9.3,6.5615
2000-04-16,1.786,508.05,1993.0,9.513,6.5955
2000-04-23,1.778,510.2,1993.5,9.402,6.7326
2000-04-30,1.807,515.35,2007.0,9.3925,6.7885
2000-05-07,1.801,519.55,2039.5,9.478,6.96
2000-05-14,1.836,520.9,2037.65,9.5855,7.0252
2000-05-21,1.839,524.0,2100.0,9.589,7.1683
2000-05-28,1.837,523.95,2111.5,9.537,7.1185
2000-06-04,1.801,519.45,2125.0,9.55,6.9338
2000-06-11,1.802,528.65,2118.0,9.895,7.007
2000-06-18,1.803,531.05,2114.75,9.88,6.83
2000-06-25,1.826,536.65,2127.7,9.944,6.885
2000-07-02,1.806,539.85,2148.5,9.83,6.795
2000-07-09,1.8,536.15,2176.25,9.526,6.8585
2000-07-16,1.802,543.05,2146.75,9.3805,6.8875
2000-07-23,1.797,546.05,2147.0,9.362,6.9135
2000-07-30,1.784,557.65,2178.5,9.38,6.955
2000-08-06,1.792,555.2,2184.0,9.35,6.956
2000-08-13,1.799,547.65,2182.5,9.271,6.89
2000-08-20,1.817,549.4,2184.75,9.305,6.9363
2000-08-27,1.8235,546.55,2205.55,9.24,6.9125
2000-09-03,1.824,564.25,2216.0,9.228,6.945
2000-09-10,1.817,568.15,2203.0,9.305,7.094
2000-09-17,1.844,564.25,2212.3,9.355,7.201
2000-09-24,1.844,565.45,2228.0,9.44,7.2291
2000-10-01,1.844,563.75,2212.2,9.437,7.235
2000-10-08,1.855,562.05,2183.5,9.473,7.2975
2000-10-15,1.873,568.45,2179.0,9.5215,7.4725
2000-10-22,1.885,570.75,2163.0,9.5625,7.573
